ds,y
2020-01-01,10.0
2020-01-02,13.6
2020-01-03,17.2
2020-01-04,20.8
2020-01-05,24.4
2020-01-06,28.0
2020-01-07,31.6
2020-01-08,21.2
2020-01-09,24.8
2020-01-10,28.4
2020-01-11,32.0
2020-01-12,35.6
2020-01-13,39.2
2020-01-14,42.8
2020-01-15,32.4
2020-01-16,36.0
2020-01-17,39.6
2020-01-18,43.2
2020-01-19,46.8
2020-01-20,50.4
2020-01-21,54.0
2020-01-22,43.6
2020-01-23,47.2
2020-01-24,50.8
2020-01-25,54.4
2020-01-26,58.0
2020-01-27,61.6
2020-01-28,65.2
2020-01-29,54.8
2020-01-30,58.4
2020-01-31,47.0
2020-02-01,50.6
2020-02-02,54.2
2020-02-03,57.8
2020-02-04,61.4
2020-02-05,51.0
2020-02-06,54.6
2020-02-07,58.2
2020-02-08,61.8
2020-02-09,65.4
2020-02-10,69.0
2020-02-11,72.6
2020-02-12,62.2
2020-02-13,65.8
2020-02-14,69.4
2020-02-15,73.0
2020-02-16,76.6
2020-02-17,80.2
2020-02-18,83.8
2020-02-19,73.4
2020-02-20,77.0
2020-02-21,80.6
2020-02-22,84.2
2020-02-23,87.8
2020-02-24,91.4
2020-02-25,95.0
2020-02-26,84.6
2020-02-27,88.2
2020-02-28,91.8
2020-02-29,95.4
2020-03-01,84.0
2020-03-02,87.6
2020-03-03,91.2
2020-03-04,80.8
2020-03-05,84.4
2020-03-06,88.0
2020-03-07,91.6
2020-03-08,95.2
2020-03-09,98.8
2020-03-10,102.4
2020-03-11,92.0
2020-03-12,95.6
2020-03-13,99.2
2020-03-14,102.8
2020-03-15,106.4
2020-03-16,110.0
2020-03-17,113.6
2020-03-18,103.2
2020-03-19,106.8
2020-03-20,110.4
2020-03-21,114.0
2020-03-22,117.6
2020-03-23,121.2
2020-03-24,124.8
2020-03-25,114.4
2020-03-26,118.0
2020-03-27,121.6
2020-03-28,125.2
2020-03-29,128.8
2020-03-30,132.4
2020-03-31,121.0
2020-04-01,110.6
2020-04-02,114.2
2020-04-03,117.8
2020-04-04,121.4
2020-04-05,125.0
2020-04-06,128.6
2020-04-07,132.2
2020-04-08,121.8
2020-04-09,125.4
